 'LTD Crown Victoria',10
 'Grand Prix Turbo',18
 'Oasis',5
 'H3T',50
 'G25',9
 'Uplander',4
 'Topaz',14
 '900',54
 'Mentor',29
 'Crossfire',20
 'F150',10
 'Type-1h',70
 'Avalon',7
 'Equinox',4
 'Legacy',47
 'i-290',5
 'Laser',21
 'Miata MX-5',24
 'BRZ',47
 'Countach',63
 'Challenger',2
 'CR-Z',31
 'Alliance',71
 'Xterra',39
 'DeVille',23
 '5000CS',19
 'LSS',1
 'Civic',31
 'Swift',27
 'Cobalt SS',4
 '280ZX',39
 'G-Series 3500',4
 'Gran Sport',6
 'Murcielago LP640',63
 'DBS',30
 '57S',41
 'RS 4',19
 'A8',19
 'Continental Super',59
 'Mazda6 Sport',24
 'Dakota',3
 'T100 Xtra',7
 'XC60',38
 '4000s',19
 'Voyager',20
 'C8 Spyder',67
 'GS',40
 'Prius Plug-in',7
 'IPL G',9
 'Avalanche 1500',4
 '228',6
 'Genesis',60
 'Cayman',43
 'Camry Hybrid',7
 'Cooper Countryman',11
 'Fury',21
 'CC',34
 'GT-R',39
 '300TE',15
 'Challenger',3
 'Silverado',4
 'Corolla',7
 'Rogue',39
 'i-280',5
 'D150',3
 'W123',15
 'Aztek',18
 'Odyssey',31
 'Vandura 2500',17
 'Ram 1500 Club',3
 'Panamera',43
 'Skylark',35
 'Focus ST',10
 'G6',18
 'HHR',4
 'Escalade EXT',23
 'Reno',27
 '750',22
 'Tempo',10
 'Continental Flying Spur',59
 'Aero 8',72
 'SJ',27
 'Ram 50',3
 'Amigo',5
 'Countryman',11
 '530',22
 '550',22
 'Cooper',11
 'M3',22
 'A6',19
 'Talon',66
 'Rally Wagon G2500',17
 'Compass',56
 'Solara',7
 'Monza',4
 'Mark VIII',12
 'Econoline E350',10
 '1500',4
 'Sportvan G20',4
 'Insight',31
 'Quattro',19
 'Somerset',35
 '5000CS Quattro',19
 'RL',36
 'GTO',18
 'Brat',47
 'Titan',39
 'Navigator L',12
 'Tracker',61
 'Rodeo Sport',5
 'Bronco',10
 'VehiCROSS',5
 'Marauder',14
 'Forenza',27
 'Eos',34
 'Sunbird',18
 'Expedition',10
 'S60',38
 'C/V',57
 'Camry',7
 'Elise',62
 'Liberty',56
 '370Z',39
 'del Sol',31
 'G37',9
 'Avalanche',4
 'Crown Victoria',10
 'Defender 90',28
 '940',38
 '88',1
 '3 Series',22
 'Th!nk',10
 'Sierra Hybrid',17
 'D250 Club',3
 'Aspire',10
 'Enclave',35
 'Storm',61
 'CL',36
 'Sierra 1500',17
 'ZX2',10
 'Neon',3
 'Genesis Coupe',60
 'CX',44
 '740',38
 '599 GTB Fiorano',51
 'Mustang',10
 'Zephyr',12
 'New Yorker',20
 'Colorado',4
 'Explorer Sport',10
 'R8',19
 'Vibe',18
 'Vision',66
 'Scoupe',60
 'Trooper',5
 'Colt Vista',21
 'Elan',62
 'Ridgeline',31
 'GT',10
 'Beretta',4
 'RS 6',19
 'Mazda2',24
 'M6',22
 'Relay',52
 'Silverado 1500',4
 'Montana SV6',18
 'Durango',3
 '300M',20
 'Taurus',10
 'R-Class',15
 'D350',3
 'Prelude',31
 'Sunfire',18
 'Rio5',29
 'MPV',24
 '300E',15
 'Sonata',60
 'Viper',3
 'Lanos',65
 '300D',15
 'Biturbo',6
 'Ram Van B150',3
 'Intrepid',3
 'Fusion',10
 'Escort ZX2',10
 'QX',9
 'Continental',12
 'Elantra',60
 'Sierra 3500',17
 'Ramcharger',3
 'Rio',29
 'Skyhawk',35
 '645',22
 'Typ-1',70
 '4000s Quattro',19
 'California',51
 'Milan',14
 'Chariot',2
 'Beetle',34
 'Sparrow',73
 'Reventon',63
 'Lucerne',35
 'D150 Club',3
 'Ram Van B250',3
 'MKT',12
 'riolet',34
 'Equator',27
 'Excel',2
 'Vantage',30
 'Gallardo',63
 'Karif',6
 'Prius Plug-in Hybrid',7
 'Forte',29
 'Daewoo Magnus',27
 'Expo LRV',2
 'Sprinter 3500',15
 'Brooklands',59
 'Prius v',7
 'MAZDA6',24
 'MGB',74
 'Bel Air',4
 'Econoline E150',10
 'Prius c',7
 'GT500',10
 'Traverse',4
 'SLS AMG',15
 'Brougham',23
 'Mazdaspeed 3',24
 'Five Hundred',10
 'GTO',2
 'Patriot',56
 'MKX',12
 'Diamante',2
 'V8 Vantage',30
 'LaCrosse',35
 'Expedition EL',10
 '200SX',39
 '350Z Roadster',39
 'LR3',28
 '100',19
 'Fiesta',10
 'IS-F',40
 'Defender',28
 'Fleetwood',23
 'Ram Wagon B150',3
 'Axiom',5
 '2500 Club Coupe',17
 '500',75
 '5000S',19
 'Malibu',4
 'riolet',19
 'Tracer',14
 'i-350',5
 'S6',19
 '924',43
 'Sonoma Club Coupe',17
 'Mariner',14
 'S70',38
 'Bonneville',18
 'Suburban 2500',17
 'Esteem',27
 'Corvair',4
 'Lumina',4
 'Cressida',7
 'Ion',52
 'Ram 1500',3
 '7 Series',22
 'NV3500',39
 'H1',50
 'Maxima',39
 'Discovery Series II',28
 'Santa Fe',60
 'Defender Ice Edition',28
 'SX4',27
 'Avalanche 2500',4
 'Azera',60
 'Supra',7
 'Galant',2
 'Highlander',7
 'X-Type',26
 'Comanche',56
 'Capri',14
 'Celica',7
 'Tundra',7
 'Ipsum',7
 'Mini Cooper',55
 'Laser',10
 'Legend',36
 '57',41
 'Vigor',36
 'Terraza',35
 'Matrix',7
 'Explorer',10
 'Borrego',29
 '500SL',15
 'Cruze',4
 'Alcyone SVX',47
 'Veloster',60
 'Azure T',59
 'XT',47
 'A3',19
 'Prizm',61
 'G-Series 2500',4
 'Vandura G1500',17
 'Tundra',2
 'Colt',3
 'XG350',60
 'SLX',36
 'Sierra Denali',17
 '650',22
 'V70',38
 'S8',19
 'Tacoma Xtra',7
 'Journey',3
 'Ram 2500 Club',3
 'Spirit',3
 'CT',40
 'Ranger',10
 'LeSabre',35
 'Sierra 3500HD',17
 'T100',7
 'Grand Vitara',27
 'Veracruz',60
 'LR2',28
 'C8',76
 'Minx Magnificent',77
 'Colt',21
 '240SX',39
 'Caprice',4
 'Monte Carlo',4
 'Contour',10
 'Roadmaster',35
 '2500',4
 'Baja',47
 'Neon',21
 '98',1
 'Equus',60
 'X5 M',22
 'E-Class',15
 'Sorento',29
 'S2000',31
 'Esprit Turbo',62
 'Range Rover Sport',28
 'Arnage',59
 'CX-7',24
 'Carrera GT',43
 'Fairlane',10
 'Exige',62
 'C-Class',15
 'Prizm',4
 '1500',17
 'DB9 Volante',30
 'Aventador',63
 'DB9',30
 'Astra',52
 'Classic',4
 '500E',15
 'S90',38
 '3500',57
 'Mazda5',24
 '300SL',15
 'Precis',2
 'Daewoo Kalos',18
 'S10',4
 'W201',15
 'Trailblazer',4
 'Chevette',18
 'SLK-Class',15
 'Mirage',2
 'Leganza',65
 'Aspen',3
 'Marquis',14
 'Seville',23
 'Sportvan G30',4
 'Sonoma',17
 'Ghost',48
 'Caliber',3
 'Q',9
 'F430',51
 'C8 Double 12 S',67
 'MX-6',24
 'Z3',22
 'Ciera',1
 'TH!NK',10
 '9-2X',54
 'Sixty Special',23
 'SLR McLaren',15
 'Carens',29
 'F-250 Super Duty',10
 '207',78
 'XL7',27
 'Catera',23
 'Firebird Formula',18
 '9-5',54
 'XR4Ti',79
 'Mazda6 5-Door',24
 'RAV4',7
 'RX Hybrid',40
 'FJ Cruiser',7
 '850',38
 'GranTurismo',6
 'Space',5
 'rio',34
 'LS Hybrid',40
 'Jetta',34
 'Monterey',18
 'Montana',18
 '3000GT',2
 'STS-V',23
 'Veyron',80
 'i-370',5
 'M',9
 'Monaco',3
 '914',43
 'Mighty Max',2
 'Z4 M',22
 'Jetta III',34
 'S-Series',52
 'Impreza',47
 'IS F',40
 'XK',26
 '400SE',15
 'Crossfire Roadster',20
 'Country',10
 'Mazda6',24
 'Sierra 2500HD',17
 'Fifth Ave',20
 'Starion',2
 'Canyon',17
 'V90',38
 'L300',2
 'Leone',47
 'Caprice Classic',4
 'C30',38
 'Horizon',21
 'Sidekick',27
 'Silverado Hybrid',4
 'D350 Club',3
 '6 Series',22
 'V50',38
 'Charade',68
 '968',43
 'FF',51
 'Golf',34
 '500SEC',15
 '2e',70
 'Grand Voyager',20
 '525',22
 'Raider',2
 'Cabriolet',34
 'Estate',35
